"partID","dyadID","sentence","stem","target"
4,2,1,"Linda swatted at the flies","that flew around her head."
4,2,2,"Helen crammed for the test","in twenty minutes."
4,2,3,"Shirley asked for help getting home","from the bus station."
4,2,4,"Sam read the newspaper","in his kitchen."
4,2,5,"Jenny went home to cook dinner","for her family."
4,2,6,"Katherine baby-sat the neighbor's kids","for ten dollars."
4,2,7,"Tom bottle fed the baby","really late at night."
4,2,8,"Bert changed the oil","in his Chevy Impala."
5,2,1,"Linda swatted at the flies","angrily"
5,2,2,"Helen crammed for the test","anxiously"
5,2,3,"Shirley asked for help getting home","safely"
5,2,4,"Sam read the newspaper","carefully"
5,2,5,"Jenny went home to cook dinner","for the family"
5,2,6,"Katherine baby-sat the neighbor's kids","happily"
5,2,7,"Tom bottle fed the baby","carefully"
5,2,8,"Bert changed the oil","to make a good dinner"
991104206,2,1,"Linda swatted at the flies","with the fly swatter."
991104206,2,2,"Helen crammed for the test","in order to get an a."
991104206,2,3,"Shirley asked for help getting home","by calling for an Uber."
991104206,2,4,"Sam read the newspaper","daily."
991104206,2,5,"Jenny went home to cook dinner","for her family."
991104206,2,6,"Katherine baby-sat the neighbor's kids","for some extra money."
991104206,2,7,"Tom bottle fed the baby","because she was crying."
991104206,2,8,"Bert changed the oil","in his car."
991136713,2,1,"Linda swatted at the flies","quickly"
991136713,2,2,"Helen crammed for the test","hard"
991136713,2,3,"Shirley asked for help getting home","from the neighbors"
991136713,2,4,"Sam read the newspaper","meticuously"
991136713,2,5,"Jenny went home to cook dinner","quickly"
991136713,2,6,"Katherine baby-sat the neighbor's kids","noisy"
991136713,2,7,"Tom bottle fed the baby","quietly"
991136713,2,8,"Bert changed the oil","in a jolly mood"
8,3,1,"Linda swatted at the flies","that hummed around her picnic lunch."
8,3,2,"Helen crammed for the test","the night before."
8,3,3,"Shirley asked for help getting home","from the tall dark stranger."
8,3,4,"Sam read the newspaper","as rarely as he could manage."
8,3,5,"Jenny went home to cook dinner","for her ungrateful kids."
8,3,6,"Katherine baby-sat the neighbor's kids","to earn money for college."
8,3,7,"Tom bottle fed the baby","once in a while."
8,3,8,"Bert changed the oil","in his old jalopy."
9,3,1,"Linda swatted at the flies"," , because it was flying over her food."
9,3,2,"Helen crammed for the test",", because she procrastinated"
9,3,3,"Shirley asked for help getting home"," late at night after a party"
9,3,4,"Sam read the newspaper"," as her morning routine"
9,3,5,"Jenny went home to cook dinner"," because she was very hungry"
9,3,6,"Katherine baby-sat the neighbor's kids"," to earn some extra money"
9,3,7,"Tom bottle fed the baby"," who was crying all day"
9,3,8,"Bert changed the oil"," of the car"
11,6,1,"Linda swatted at the flies","in her living room."
11,6,2,"Helen crammed for the test","after spending the night with friends."
11,6,3,"Shirley asked for help getting home","because there were no Uber drivers nearby."
11,6,4,"Sam read the newspaper","because her father told her to."
11,6,5,"Jenny went home to cook dinner","after a long day at school."
11,6,6,"Katherine baby-sat the neighbor's kids","while they were at work."
11,6,7,"Tom bottle fed the baby","because it was crying."
11,6,8,"Bert changed the oil","because his car showed a light indicating he needed to change it."
12,6,1,"Linda swatted at the flies","on the chair."
12,6,2,"Helen crammed for the test","the night before."
12,6,3,"Shirley asked for help getting home","work done."
12,6,4,"Sam read the newspaper","this morning."
12,6,5,"Jenny went home to cook dinner","last night."
12,6,6,"Katherine baby-sat the neighbor's kids","for three years."
12,6,7,"Tom bottle fed the baby","in the middle of the night."
12,6,8,"Bert changed the oil","in the car."
36,12,1,"Linda swatted at the flies","that were on the flower"
36,12,2,"Helen crammed for the test","after learning so much content last minute"
