partID,dyadID,sentence,stem,target,kat_score,katscore2,notes
4,2,1,Linda swatted at the flies,that flew around her head.,3,3,
4,2,2,Helen crammed for the test,in twenty minutes.,2,3,
4,2,3,Shirley asked for help getting home,from the bus station.,3,3,
4,2,4,Sam read the newspaper,in his kitchen.,2,3,
4,2,5,Jenny went home to cook dinner,for her family.,5,5,
4,2,6,Katherine baby-sat the neighbor's kids,for ten dollars.,2,2,
4,2,7,Tom bottle fed the baby,really late at night.,2,3,
4,2,8,Bert changed the oil,in his Chevy Impala.,4,5,
5,2,1,Linda swatted at the flies,angrily,4,2,
5,2,2,Helen crammed for the test,anxiously,4,4,
5,2,3,Shirley asked for help getting home,safely,4,3,
5,2,4,Sam read the newspaper,carefully,3,3,
5,2,5,Jenny went home to cook dinner,for the family,5,5,
5,2,6,Katherine baby-sat the neighbor's kids,happily,4,4,
5,2,7,Tom bottle fed the baby,carefully,3,3,
5,2,8,Bert changed the oil,to make a good dinner,1,1,
991104206,2,1,Linda swatted at the flies,with the fly swatter.,3,3,
991104206,2,2,Helen crammed for the test,in order to get an a.,3,3,
991104206,2,3,Shirley asked for help getting home,by calling for an Uber.,2,2,
991104206,2,4,Sam read the newspaper,daily.,3,3,
991104206,2,5,Jenny went home to cook dinner,for her family.,5,5,
991104206,2,6,Katherine baby-sat the neighbor's kids,for some extra money.,2,2,
991104206,2,7,Tom bottle fed the baby,because she was crying.,3,3,
991104206,2,8,Bert changed the oil,in his car.,4,4,
991136713,2,1,Linda swatted at the flies,quickly,3,3,
991136713,2,2,Helen crammed for the test,hard,3,3,
991136713,2,3,Shirley asked for help getting home,from the neighbors,3,3,
991136713,2,4,Sam read the newspaper,meticuously,3,3,
991136713,2,5,Jenny went home to cook dinner,quickly,2,2,
991136713,2,6,Katherine baby-sat the neighbor's kids,noisy,3,,this one doesn't really make sense
991136713,2,7,Tom bottle fed the baby,quietly,3,3,
991136713,2,8,Bert changed the oil,in a jolly mood,2,3,
8,3,1,Linda swatted at the flies,that hummed around her picnic lunch.,3,3,
8,3,2,Helen crammed for the test,the night before.,3,3,
8,3,3,Shirley asked for help getting home,from the tall dark stranger.,5,5,
8,3,4,Sam read the newspaper,as rarely as he could manage.,3,3,
8,3,5,Jenny went home to cook dinner,for her ungrateful kids.,5,5,
8,3,6,Katherine baby-sat the neighbor's kids,to earn money for college.,2,2,
8,3,7,Tom bottle fed the baby,once in a while.,5,5,
8,3,8,Bert changed the oil,in his old jalopy.,4,4,
9,3,1,Linda swatted at the flies,", because it was flying over her food.",3,3,
9,3,2,Helen crammed for the test,", because she procrastinated",3,3,
9,3,3,Shirley asked for help getting home,late at night after a party,3,3,
9,3,4,Sam read the newspaper,as her morning routine,3,3,
9,3,5,Jenny went home to cook dinner,because she was very hungry,3,3,
9,3,6,Katherine baby-sat the neighbor's kids,to earn some extra money,2,2,
9,3,7,Tom bottle fed the baby,who was crying all day,3,3,
9,3,8,Bert changed the oil,of the car,4,4,
11,6,1,Linda swatted at the flies,in her living room.,3,3,
11,6,2,Helen crammed for the test,after spending the night with friends.,3,2,
11,6,3,Shirley asked for help getting home,because there were no Uber drivers nearby.,2,2,
11,6,4,Sam read the newspaper,because her father told her to.,5,5,
11,6,5,Jenny went home to cook dinner,after a long day at school.,1,2,
11,6,6,Katherine baby-sat the neighbor's kids,while they were at work.,3,3,
11,6,7,Tom bottle fed the baby,because it was crying.,3,3,
11,6,8,Bert changed the oil,because his car showed a light indicating he needed to change it.,4,4,
12,6,1,Linda swatted at the flies,on the chair.,3,3,
12,6,2,Helen crammed for the test,the night before.,3,3,
12,6,3,Shirley asked for help getting home,work done.,1,1,
12,6,4,Sam read the newspaper,this morning.,3,3,
12,6,5,Jenny went home to cook dinner,last night.,3,3,
12,6,6,Katherine baby-sat the neighbor's kids,for three years.,3,3,
12,6,7,Tom bottle fed the baby,in the middle of the night.,3,3,
12,6,8,Bert changed the oil,in the car.,4,4,
36,12,1,Linda swatted at the flies,that were on the flower,3,3,
36,12,2,Helen crammed for the test,after learning so much content last minute,2,3,
36,12,3,Shirley asked for help getting home,because she was feeling dizzy,2,3,
36,12,4,Sam read the newspaper,multiple times,3,3,
36,12,5,Jenny went home to cook dinner,for her family,5,5,
36,12,6,Katherine baby-sat the neighbor's kids,for a day,3,3,
36,12,7,Tom bottle fed the baby,last night,3,3,
36,12,8,Bert changed the oil,because it was very dark,3,3,
37,12,1,Linda swatted at the flies,furiously.,4,2,
37,12,2,Helen crammed for the test,all night long.,3,3,
37,12,3,Shirley asked for help getting home,from the supermarket.,4,4,
37,12,4,Sam read the newspaper,silently.,3,3,
37,12,5,Jenny went home to cook dinner,for her family.,5,5,
37,12,6,Katherine baby-sat the neighbor's kids,over the weekend.,3,3,
37,12,7,Tom bottle fed the baby,until it fell asleep.,3,3,
37,12,8,Bert changed the oil,for his car.,4,4,
38,13,1,Linda swatted at the flies,with her hands.,3,3,
38,13,2,Helen crammed for the test,last night.,3,3,
38,13,3,Shirley asked for help getting home,from school.,2,2,
